category,brand,score
洗髮,ANGFA,101666
保濕,KOSE,86453
保濕,ANGFA,45440
睫毛,ANGFA,27260
睫毛,Miche Bloomin,13856
美白,KOSE,10380
去角質,CureQ,8969
沐浴,KOSE,7528
洗顏,KOSE,4415
睫毛,Purish,4050
洗髮,KOSE,3860
眼線,FLOWFUSHI ,3493
底妝,BEAUTYMAKER,3008
卸妝,KOSE,2498
睫毛,FLOWFUSHI ,2088
持妝,BEAUTYMAKER,1482
補妝,BEAUTYMAKER,1342
眉毛,ANGFA,1116
底妝,others,1100
保濕,CureQ,1049
睫毛,DASODA,988
持妝,KOSE,980
其他,LSY,780
眼線,BEAUTYMAKER,522
護唇,KOSE,513
遮瑕,DASODA,493
保濕,BEAUTYMAKER,380
護唇,BEAUTYMAKER,320
眼線,others,218
遮瑕,BEAUTYMAKER,199
其他,others,189
眉毛,BEAUTYMAKER,149
卸妝,BEAUTYMAKER,1
其他,BEAUTYMAKER,0
睫毛,others,0
